time,pose,landmarks
3.4000000000000017,"Pose(pos=Position(x=np.float64(49.17279889190763), y=np.float64(6.0448149840113965)), theta=1.8427963267948968)","{1: Position(x=np.float64(0.8272011080923676), y=np.float64(43.955185015988604)), 2: Position(x=np.float64(-24.172798891907632), y=np.float64(23.955185015988604))}"
3.5000000000000018,"Pose(pos=Position(x=np.float64(49.12374736199238), y=np.float64(6.218002092692561)), theta=1.8507963267948968)","{1: Position(x=np.float64(0.876252638007621), y=np.float64(43.78199790730744)), 2: Position(x=np.float64(-24.12374736199238), y=np.float64(23.78199790730744))}"
3.600000000000002,"Pose(pos=Position(x=np.float64(49.073311919626846), y=np.float64(6.3907912513622005)), theta=1.8587963267948968)","{1: Position(x=np.float64(0.9266880803731539), y=np.float64(43.6092087486378)), 2: Position(x=np.float64(-24.073311919626846), y=np.float64(23.609208748637798))}"
3.700000000000002,"Pose(pos=Position(x=np.float64(49.02149579266214), y=np.float64(6.563171401573138)), theta=1.8667963267948968)","{1: Position(x=np.float64(0.9785042073378634), y=np.float64(43.436828598426864)), 2: Position(x=np.float64(-24.021495792662137), y=np.float64(23.436828598426864))}"
3.800000000000002,"Pose(pos=Position(x=np.float64(48.96830229731268), y=np.float64(6.7351315110545995)), theta=1.8747963267948968)","{1: Position(x=np.float64(1.0316977026873175), y=np.float64(43.2648684889454)), 2: Position(x=np.float64(-23.968302297312682), y=np.float64(23.2648684889454))}"
3.900000000000002,"Pose(pos=Position(x=np.float64(48.913734837944034), y=np.float64(6.906660574418273)), theta=1.8827963267948968)","{1: Position(x=np.float64(1.086265162055966), y=np.float64(43.093339425581725)), 2: Position(x=np.float64(-23.913734837944034), y=np.float64(23.093339425581725))}"
4.000000000000002,"Pose(pos=Position(x=np.float64(48.85779690685496), y=np.float64(7.077747613862653)), theta=1.8907963267948968)","{1: Position(x=np.float64(1.1422030931450422), y=np.float64(42.922252386137345)), 2: Position(x=np.float64(-23.857796906854958), y=np.float64(22.922252386137348))}"
4.100000000000001,"Pose(pos=Position(x=np.float64(48.80049208405396), y=np.float64(7.248381679875611)), theta=1.8987963267948968)","{1: Position(x=np.float64(1.1995079159460431), y=np.float64(42.751618320124386)), 2: Position(x=np.float64(-23.800492084053957), y=np.float64(22.75161832012439))}"
4.200000000000001,"Pose(pos=Position(x=np.float64(48.74182403703013), y=np.float64(7.418551851935167)), theta=1.9067963267948969)","{1: Position(x=np.float64(1.2581759629698723), y=np.float64(42.58144814806484)), 2: Position(x=np.float64(-23.741824037030128), y=np.float64(22.581448148064833))}"
4.300000000000001,"Pose(pos=Position(x=np.float64(48.68179652051846), y=np.float64(7.588247239208392)), theta=1.9147963267948969)","{1: Position(x=np.float64(1.3182034794815394), y=np.float64(42.41175276079161)), 2: Position(x=np.float64(-23.68179652051846), y=np.float64(22.411752760791607))}"
4.4,"Pose(pos=Position(x=np.float64(48.62041337625951), y=np.float64(7.757456981248423)), theta=1.9227963267948969)","{1: Position(x=np.float64(1.3795866237404866), y=np.float64(42.242543018751576)), 2: Position(x=np.float64(-23.620413376259513), y=np.float64(22.242543018751576))}"
4.5,"Pose(pos=Position(x=np.float64(48.55767853275357), y=np.float64(7.9261702486895285)), theta=1.9307963267948969)","{1: Position(x=np.float64(1.4423214672464297), y=np.float64(42.07382975131047)), 2: Position(x=np.float64(-23.55767853275357), y=np.float64(22.07382975131047))}"
4.6,"Pose(pos=Position(x=np.float64(48.49359600500921), y=np.float64(8.094376243940177)), theta=1.9387963267948969)","{1: Position(x=np.float64(1.5064039949907908), y=np.float64(41.905623756059825)), 2: Position(x=np.float64(-23.49359600500921), y=np.float64(21.905623756059825))}"
4.699999999999999,"Pose(pos=Position(x=np.float64(48.42816989428632), y=np.float64(8.26206420187409)), theta=1.946796326794897)","{1: Position(x=np.float64(1.5718301057136799), y=np.float64(41.73793579812591)), 2: Position(x=np.float64(-23.42816989428632), y=np.float64(21.73793579812591))}"
4.799999999999999,"Pose(pos=Position(x=np.float64(48.361404387833666), y=np.float64(8.429223390519192)), theta=1.954796326794897)","{1: Position(x=np.float64(1.638595612166334), y=np.float64(41.57077660948081)), 2: Position(x=np.float64(-23.361404387833666), y=np.float64(21.57077660948081))}"
4.899999999999999,"Pose(pos=Position(x=np.float64(48.293303758620866), y=np.float64(8.595843111744472)), theta=1.962796326794897)","{1: Position(x=np.float64(1.7066962413791344), y=np.float64(41.40415688825553)), 2: Position(x=np.float64(-23.293303758620866), y=np.float64(21.404156888255528))}"
4.999999999999998,"Pose(pos=Position(x=np.float64(48.22387236506495), y=np.float64(8.761912701944642)), theta=1.970796326794897)","{1: Position(x=np.float64(1.776127634935051), y=np.float64(41.23808729805536)), 2: Position(x=np.float64(-23.22387236506495), y=np.float64(21.23808729805536))}"
5.099999999999998,"Pose(pos=Position(x=np.float64(48.153114650751405), y=np.float64(8.927421532722613)), theta=1.978796326794897)","{1: Position(x=np.float64(1.8468853492485948), y=np.float64(41.07257846727739)), 2: Position(x=np.float64(-23.153114650751405), y=np.float64(21.07257846727739))}"
5.1999999999999975,"Pose(pos=Position(x=np.float64(48.081035144149794), y=np.float64(9.09235901156971)), theta=1.986796326794897)","{1: Position(x=np.float64(1.9189648558502057), y=np.float64(40.90764098843029)), 2: Position(x=np.float64(-23.081035144149794), y=np.float64(20.907640988430288))}"
5.299999999999997,"Pose(pos=Position(x=np.float64(48.00763845832393), y=np.float64(9.256714582543585)), theta=1.994796326794897)","{1: Position(x=np.float64(1.9923615416760683), y=np.float64(40.74328541745641)), 2: Position(x=np.float64(-23.00763845832393), y=np.float64(20.743285417456413))}"
